username,password,friends,,,posts,,
dudleysnape,12345678,siriustonks,dumbledorekreacher,hagridkreacher,@peeves_thepoltergeist: causing chaos in the hallways because well that's what i do best! #peevespranks #poltergeistlife,@hermionegranger: another day another library session. mastering spells and potions like it's my job! #bookwormlife #wizardstudies,cho chang: quidditch match tomorrow! ready to cheer for my favorite team. #ravenclawpride #quafflequibbler
dumbledorekarkaroff,98765432,siriuslockhart,bellatrixharry,cedricbarty,cedric diggory - training hard for the triwizard tournament. it's not just about winning; it's about doing your best! #triwizardprep,luna lovegood: thestrals make the best companions. #magicalcreatures #nargleawareness,@magicalmenagerie: just got a new delivery of magical creatures! from pygmy puffs to blast-ended skrewts we've got it all. #magicalmenagerie #creaturecraze
dumbledorekreacher,12345678,cedricvernon,kreachernarcissa, ,@moaningmyrtle: ugh another day haunting the bathroom. can't a ghost catch a break? #moaningmyrtle #ghostproblems,harry potter: just defeated another dark wizard. nbd. #aurorlife #nomuggleswereharmed,moaning myrtle - feeling a bit down in the bathroom. anyone up for a ghostly chat? #moaningmyrtle #lonelyghost
filchpetunia,98765432,malfoygilderoy,luciusmolly,kreachernarcissa,cho chang: quidditch match tomorrow! ready to cheer for my favorite team. #ravenclawpride #quafflequibbler,@nymphadoratonks: tried a new hair color today. feeling blue... literally. #metamorphmaguslife #tonkstales,professor mcgonagall: another year at hogwarts and i've already turned into a cat twice. #animagusproblems #transfigurationteacher
filchvernon,12345678,naginilockhart,kreacherparvati,hedwiggilderoy,@hermionegranger: another day another library session. mastering spells and potions like it's my job! #bookwormlife #wizardstudies,@theboywholived: just cast a perfect patronus charm to fend off some dementors! #expectopatronum #harrypotterlife,@moaningmyrtle: ugh another day haunting the bathroom. can't a ghost catch a break? #moaningmyrtle #ghostproblems
fleurron,98765432,dracobellatrix, , ,fred and george weasley - opening a new joke shop in diagon alley! weasley's wizard wheezes - pranks for all occasions! #mischiefmanaged,@nymphadoratonks: tried a new hair color today. feeling blue... literally. #metamorphmaguslife #tonkstales,professor snape: brewed a perfect potion today. expect nothing less. #potionsmaster #halfbloodprince
fredneville,12345678,fredsnape,dracokarkaroff,georgeharry,peeves - causing chaos in the great hall again! who needs order anyway? #peevespranks,dobby - dobby is a free elf! no more serving the malfoys. what's next for dobby? #freeelf,cho chang: quidditch match tomorrow! ready to cheer for my favorite team. #ravenclawpride #quafflequibbler
fredsnape,98765432,hagridfudge,lupinkarkaroff,hagridkarkaroff,cho chang - just finished a great quidditch match. ravenclaw for the win! #quidditchvictory,@moaningmyrtle: ugh another day haunting the bathroom. can't a ghost catch a break? #moaningmyrtle #ghostproblems,luna lovegood - the quibbler has an exclusive interview with the crumple-horned snorkack! get your copy now!
georgedobby,12345678,hagridharry,narcissalupin, ,@fredandgeorge: who needs a love potion when you've got our latest product heartbreaker jellybeans? grab a pack and wreak havoc! #prankstersunleashed #fredandgeorge,luna lovegood - the quibbler has an exclusive interview with the crumple-horned snorkack! get your copy now!,@weasleywizardwheezes: our latest invention is sure to make you laugh until your sides split! the ticklish tonic is flying off the shelves! #weasleywizardwheezes
georgeharry,98765432,filchpetunia,bellatrixsirius,malfoysirius,@nymphadoratonks: tried a new hair color today. feeling blue... literally. #metamorphmaguslife #tonkstales,nymphadora tonks - just changed my hair color to bright pink for a laugh. moody wasn't amused. #metamorphmagusmadness,ron weasley - finally mastered the patronus charm! turns out mine is a... really determined garden gnome. #weirdpatronus
georgenarcissa,12345678,hagridharry,arthurhermione,vernonlupin,@dobby_theelf: dobby is a free elf! enjoying the freedom and maybe some socks. #freeelf #dobbyishappy,ron weasley: accidentally turned my pet rat into a cup. oops! #magicalmishaps #transfigurationtroubles,harry potter: just defeated another dark wizard. nbd. #aurorlife #nomuggleswereharmed
ginnylupin,98765432,hagridkarkaroff,georgenarcissa, ,hermione granger - accidentally discovered a new spell while studying. it's called 'accio extra coffee'!,@magicalmenagerie: just got a new delivery of magical creatures! from pygmy puffs to blast-ended skrewts we've got it all. #magicalmenagerie #creaturecraze,draco malfoy: slytherin pride forever! #purebloodpower #malfoymanor
hagridfudge,12345678,luciuskreacher,ginnylupin,bartypetunia,@hogwartsexp: all aboard the hogwarts express! next stop: magic and adventure. #backtohogwarts #trainride,@nymphadoratonks: tried a new hair color today. feeling blue... literally. #metamorphmaguslife #tonkstales,@theboywholived: just cast a perfect patronus charm to fend off some dementors! #expectopatronum #harrypotterlife
hagridharry,98765432,dumbledorekarkaroff,siriustonks,georgenarcissa,fleur delacour: veela charm level: expert. #beauxbatonsbeauty #veelavibes,professor snape: brewed a perfect potion today. expect nothing less. #potionsmaster #halfbloodprince,@weasleywizardwheezes: our latest invention is sure to make you laugh until your sides split! the ticklish tonic is flying off the shelves! #weasleywizardwheezes
hagridkarkaroff,12345678,hedwiggilderoy,nevillefilch, ,nearly headless nick - celebrating 500 years of nearly headlessness! a milestone in the afterlife. #nearlyheadless500,fred and george weasley - opening a new joke shop in diagon alley! weasley's wizard wheezes - pranks for all occasions! #mischiefmanaged,hagrid: just adopted a new blast-ended skrewt. anyone have tips on creature care? #magicalmenagerie #hagridshut
hagridkreacher,98765432,malfoyvoldemort,luciusdumbledore,lupinlavender,professor snape - today's potions class: brewing felix felicis. keep those cauldrons steady or you'll be unlucky for a month! #potionmaster,ginny weasley: quidditch practice was intense! #seekerlife #gryffindorglory,@kreacher_theelf: kreacher is busy cleaning grimmauld place. master black would be proud! #houseelfduty #kreacherthehouseelf
hedwiggilderoy,12345678,lupinkarkaroff,bartypetunia,myrtlelavender,cedric diggory: triwizard tournament practice got me feeling like a dragon's snack. #triwizardtrials #hufflepuffhero,@fawkes_thephoenix: just burst into flames and rose from the ashes. the perks of being a phoenix! #eternallife #phoenixmagic,dobby - dobby is a free elf! no more serving the malfoys. what's next for dobby? #freeelf
kreachernarcissa,98765432,bellatrixharry,cedricdraco, ,rita skeeter - latest scoop: harry potter seen in hogsmeade with a mysterious creature. exclusive details in the daily prophet! #gossipqueen,@hpotterfansunite: raise your wands if you're still waiting for your hogwarts letter! #hogwartsdreams #potterheadsunite,@fredandgeorge: who needs a love potion when you've got our latest product heartbreaker jellybeans? grab a pack and wreak havoc! #prankstersunleashed #fredandgeorge
kreacherparvati,12345678,hagridkarkaroff,georgedobby,dumbledorekreacher,luna lovegood: thestrals make the best companions. #magicalcreatures #nargleawareness,fred weasley: just pranked snape with some extendable ears. never gets old! #weasleywizardwheezes #maraudersmap,peeves - causing chaos in the great hall again! who needs order anyway? #peevespranks
luciusdumbledore,98765432,fredsnape,hagridkarkaroff,cedricvernon,@hogwartsexp: all aboard the hogwarts express! next stop: magic and adventure. #backtohogwarts #trainride,@profsnape: detention for those who can't brew a proper potion. i expect perfection not excuses. #potionsmaster #slytherinpride,professor snape: brewed a perfect potion today. expect nothing less. #potionsmaster #halfbloodprince
luciuskreacher,12345678,dumbledorekarkaroff, , ,moaning myrtle - feeling a bit down in the bathroom. anyone up for a ghostly chat? #moaningmyrtle #lonelyghost,nymphadora tonks - just changed my hair color to bright pink for a laugh. moody wasn't amused. #metamorphmagusmadness,cedric diggory - training hard for the triwizard tournament. it's not just about winning; it's about doing your best! #triwizardprep
luciusmolly,98765432,malfoygilderoy,georgeharry, ,professor snape: brewed a perfect potion today. expect nothing less. #potionsmaster #halfbloodprince,@dumbledorequotes: happiness can be found even in the darkest of times if one only remembers to turn on the light. wise words for your wednesday. #dumbledorewisdom #lightinthedarkness,lord voldemort: plotting world domination. the usual. #darklordgoals #fearme
lupinkarkaroff,12345678,arthurhermione,hagridkreacher,siriusmyrtle,@dobby_theelf: dobby is a free elf! enjoying the freedom and maybe some socks. #freeelf #dobbyishappy,neville longbottom - accidentally watered my mimbulus mimbletonia with gillyweed. professor sprout wasn't too thrilled. #herbologyoops,hermione granger: books are my portkey to knowledge! #bookworm #mugglestudies
lupinlavender,98765432,malfoysirius,vernonlupin, ,lord voldemort: plotting world domination. the usual. #darklordgoals #fearme,professor mcgonagall: another year at hogwarts and i've already turned into a cat twice. #animagusproblems #transfigurationteacher,@lunalovegood: just spotted a crumple-horned snorkack on my way to class. they're real you know. #lunalogic #believeinmagic
malfoygilderoy,12345678,bellatrixharry,cedricvernon,dracobellatrix,professor mcgonagall: another year at hogwarts and i've already turned into a cat twice. #animagusproblems #transfigurationteacher,hermione granger: books are my portkey to knowledge! #bookworm #mugglestudies,neville longbottom - accidentally watered my mimbulus mimbletonia with gillyweed. professor sprout wasn't too thrilled. #herbologyoops
malfoymolly,98765432,bartypetunia, , ,@nearlyheadlessnick: ghost party in the great hall tonight! all hogwarts ghosts invited. #nearlyheadlessnick #ghostlygathering,fred and george weasley - opening a new joke shop in diagon alley! weasley's wizard wheezes - pranks for all occasions! #mischiefmanaged,@theboywholived: just cast a perfect patronus charm to fend off some dementors! #expectopatronum #harrypotterlife
malfoysirius,12345678,hagridkreacher,moodymolly,malfoyvoldemort,ginny weasley: quidditch practice was intense! #seekerlife #gryffindorglory,hermione granger - accidentally discovered a new spell while studying. it's called 'accio extra coffee'!,ginny weasley - quidditch practice was intense today! bludgers everywhere but we emerged victorious! #quidditchqueen
malfoyvoldemort,98765432,hagridkreacher,myrtlelavender,siriuslockhart,@peeves_thepoltergeist: causing chaos in the hallways because well that's what i do best! #peevespranks #poltergeistlife,@hpotterfansunite: raise your wands if you're still waiting for your hogwarts letter! #hogwartsdreams #potterheadsunite,lord voldemort: plotting world domination. the usual. #darklordgoals #fearme
moodymolly,12345678,fredsnape,hagridfudge, ,@dudley_dursley: just found out there's a world of magic that i knew nothing about. still not sure how to feel about it. #muggleproblems #harrywho?,professor snape: brewed a perfect potion today. expect nothing less. #potionsmaster #halfbloodprince,peeves - causing chaos in the great hall again! who needs order anyway? #peevespranks
myrtlelavender,98765432,snapeluna,naginiscabbers,naginilockhart,professor mcgonagall: another year at hogwarts and i've already turned into a cat twice. #animagusproblems #transfigurationteacher,ginny weasley: quidditch practice was intense! #seekerlife #gryffindorglory,cho chang - just finished a great quidditch match. ravenclaw for the win! #quidditchvictory
naginilockhart,12345678,cedricdraco,fredneville,dracokarkaroff,hagrid - new magical creatures in care of magical creatures class today! buckbeak says hi. #creaturecomforts,hermione granger: books are my portkey to knowledge! #bookworm #mugglestudies,fred and george weasley - opening a new joke shop in diagon alley! weasley's wizard wheezes - pranks for all occasions! #mischiefmanaged
naginiscabbers,98765432,bellatrixsirius, , ,hagrid - new magical creatures in care of magical creatures class today! buckbeak says hi. #creaturecomforts,lord voldemort: plotting world domination. the usual. #darklordgoals #fearme,cedric diggory: triwizard tournament practice got me feeling like a dragon's snack. #triwizardtrials #hufflepuffhero
narcissalupin,12345678,georgenarcissa,luciuskreacher,lupinkarkaroff,@dumbledorequotes: happiness can be found even in the darkest of times if one only remembers to turn on the light. wise words for your wednesday. #dumbledorewisdom #lightinthedarkness,fred weasley: just pranked snape with some extendable ears. never gets old! #weasleywizardwheezes #maraudersmap,hagrid - new magical creatures in care of magical creatures class today! buckbeak says hi. #creaturecomforts
nevillefilch,98765432,lupinlavender,malfoygilderoy,naginiscabbers,@nymphadoratonks: tried a new hair color today. feeling blue... literally. #metamorphmaguslife #tonkstales,professor snape - today's potions class: brewing felix felicis. keep those cauldrons steady or you'll be unlucky for a month! #potionmaster,hagrid - new magical creatures in care of magical creatures class today! buckbeak says hi. #creaturecomforts
siriuslockhart,12345678,siriustonks,hedwiggilderoy, ,@kreacher_theelf: kreacher is busy cleaning grimmauld place. master black would be proud! #houseelfduty #kreacherthehouseelf,@fawkes_thephoenix: just burst into flames and rose from the ashes. the perks of being a phoenix! #eternallife #phoenixmagic,ginny weasley: quidditch practice was intense! #seekerlife #gryffindorglory
siriusmyrtle,98765432,lupinlavender,dracobellatrix,filchvernon,@fawkes_thephoenix: just burst into flames and rose from the ashes. the perks of being a phoenix! #eternallife #phoenixmagic,@dumbledorequotes: happiness can be found even in the darkest of times if one only remembers to turn on the light. wise words for your wednesday. #dumbledorewisdom #lightinthedarkness,@kreacher_theelf: kreacher is busy cleaning grimmauld place. master black would be proud! #houseelfduty
siriustonks,12345678,hagridkarkaroff,tonksmcgonagall,filchpetunia,sirius black - escaped azkaban cleared my name and now i'm a free man! time to catch up on some lost years. #padfootisfree,@moaningmyrtle: ugh another day haunting the bathroom. can't a ghost catch a break? #moaningmyrtle #ghostproblems,ginny weasley: quidditch practice was intense! #seekerlife #gryffindorglory
snapeluna,98765432,malfoyvoldemort,malfoymolly, ,@dobby_theelf: dobby is a free elf! enjoying the freedom and maybe some socks. #freeelf #dobbyishappy,@kreacher_theelf: kreacher is busy cleaning grimmauld place. master black would be proud! #houseelfduty #kreacherthehouseelf,fred and george weasley - opening a new joke shop in diagon alley! weasley's wizard wheezes - pranks for all occasions! #mischiefmanaged
tonksmcgonagall,12345678,cedricarthur,naginilockhart,luciusdumbledore,ron weasley: accidentally turned my pet rat into a cup. oops! #magicalmishaps #transfigurationtroubles,@ginnyweasley: quidditch practice was intense today! blasted a quaffle past the keeper like it was nothing. #ginnyweasley #quidditchqueen,@kreacher_theelf: kreacher is busy cleaning grimmauld place. master black would be proud! #houseelfduty #kreacherthehouseelf
vernonlupin,98765432,dudleysnape, , ,@peeves_thepoltergeist: causing chaos in the hallways because well that's what i do best! #peevespranks #poltergeistlife,hermione granger - accidentally discovered a new spell while studying. it's called 'accio extra coffee'!,harry potter - just defeated a hungarian horntail in the triwizard tournament! no biggie. #triwizardchampion #nbd
